agency,date,title,status,purpose,period_covered,link
OVP,"January 25, 2022",Request for VP Leni Robredo SALN form,PENDING,Research and Development,01/25/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0zNDk3NzQ5NzI3NzgM
DOLE,"January 25, 2022",Cash Assistance for COVID-19 patient 2022,PENDING,Cash Assistance,01/11/2022 - 01/23/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNzUwODQ3NzU4MDcyDA
DND,"January 25, 2022",Department Circular 45 and 291,PENDING,Research on Space Capability Development,02/07/2020 - 09/01/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERORC01MzAwNjk2MDg5NTgM
DOH,"January 25, 2022",Request of Vax Cert,PENDING,Travel,01/23/2022 - 01/23/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NjI3OTMwNjYxMzcM
NAMRIA,"January 25, 2022",Total Number of Bills and Laws Passed by Kabataan Partylist,PENDING,Article Writing,01/01/2007 - 01/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtMTA3MTEwNzM1OTkzDA
LRA,"January 25, 2022",NCR Comprehensive Land Use Plan,PENDING,Research and Development,09/01/2018 - 03/04/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExSQS04Mzc3NjU5NDYzMDYM
DOH,"January 25, 2022",the number of case if disease of the heart in dasmarinas cavite,ACCEPTED,For research purposes,01/01/2020 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00MDIwNjQ0NDgzOTAM
DENR,"January 25, 2022",List of accredited service provider for siphoning,PENDING,Manila Bay Clean Up Rehabilitation and Preservation Program,01/24/2020 - 01/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItOTUzMTgwNTQyMDEyDA
NAMRIA,"January 25, 2022",Shapefile of Misamis Oriental,PENDING,Research and Development (Master's Thesis),01/01/2010 - 01/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtNDI4NzQ4MDAzNTE2DA
DOH,"January 25, 2022",Certificate of Funding (PO 21-10-0843),ACCEPTED,Customer Account Registration and Maintenance,01/25/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02MDk0NjM5NTY5ODMM
DOH,"January 25, 2022",VaxCert,ACCEPTED,Travel Abroad,10/22/2021 - 11/19/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00MDI5ODM0NTk1MTQM
CFO,"January 25, 2022",The number of OFW with children left in the Philippines,PENDING,Undergraduate research,10/31/2012 - 09/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENGTy02NTM2MjA3NzczMzIM
PRC,"January 25, 2022",Correction of Online Data (To reflect Middle Name instead of Middle Initial),PENDING,Data online should reflect middle name instead of middle initial to proceed with online renewal,01/24/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy02MDU1MjYzMzM0MDQM
PCSO,"January 25, 2022",Seeking gadget/laptop aid to help 4 students for their schooling,PENDING,For educational purposes,12/01/2021 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDU08tOTM2MTY1NzI5MTM4DA
DOH,"January 25, 2022",COVID-19 Donations,ACCEPTED,Research,02/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wODc4NDg1NzAwNjYM
DOH,"January 25, 2022",Vaccine Certificate Follow-up,ACCEPTED,Vaccine Certificate for International requirements,04/22/2021 - 12/03/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01OTM3ODYxMjY1MzAM
NPC,"January 25, 2022",Online Lending App Spencash Accessing my phone Contacts without my permission,PENDING,Para mapatigil na ma access nila ang media files and phone contacts,01/20/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5QQy02MzEyNTk5MTUwMDEM
DFA,"January 25, 2022",Apostille Minor Birth Certificate,PENDING,DFA Apostille appointment,01/24/2022 - 01/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERGQS00MDk3MDIzMDA1MDgM
PRC,"January 25, 2022",PRC renewal,PENDING,Request for correction of data entry on my PRC renewal application,01/21/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy02NDcyMTgxNTY4MjEM
