agency,date,title,status,purpose,period_covered,link
SSS,"February 06, 2022",Death Claim Status,PENDING,Status,01/10/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy04NzQzMjE2OTk3MTEM
BSWM,"February 06, 2022",SOIL MAP OF CAVITE PROVINCE,PENDING,RESEARCH FOR DESIGN REQUIREMENT,03/03/2000 - 12/20/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tMDE1NjMzMjE2MjcxDA
DepEd,"February 06, 2022",Als Certificate,PENDING,For Legal Purposes,08/04/2013 - 04/02/2014,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTgwOTI5MTYxMTcwNgw
DTI,"February 06, 2022",List of Businesses (BMBEs) in Valenzuela City,PENDING,Masteral Degree Thesis Study,01/01/2021 - 01/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS02MDYzODU4NTc3OTMM
NTC,"February 06, 2022",Iphone XR stolen,PENDING,Find or kill my stolen iphone,06/27/2021 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy02NjczOTQ5NTY0MTgM
MMDA,"February 06, 2022",DIVISORIA TRAFFIC DATA,PENDING,For Mastesl Degree feasibility Study,01/01/2019 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtODQzMjQ2MjE1ODQ4DA
DOE,"February 06, 2022",Hydropower up to date maps,PENDING,Research and Development,01/01/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS02ODIyOTYwNjAxODkM
DepEd,"February 06, 2022",Form 137,PENDING,For employment,06/06/1994 - 03/06/1998,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTIwNDczNTk4ODUxMgw
DPWH,"February 06, 2022",Construction Materials Price Data 4thQuarter 2021,PENDING,Preparation of Program of Works,10/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtMDk5MjgxODI2Nzc1DA
SEC,"February 06, 2022",Unfair debt collection practices- ZADACASH,PENDING,To stop them from sending foul/threatening messages to borrowers who are late in payments and their,02/01/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy0wNTE0MDUxOTAxOTgM
USEP,"February 06, 2022",College of Engineering (CoE) Building Plan,PENDING,Undergraduate Thesis,02/06/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVVTRVAtNTc3NDk4MjI1MDMzDA
DOH,"February 06, 2022",Covid 19 Booster Shot Certificate,PENDING,Requesting for vaccine certificate of booster shot,01/31/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wMjQwOTgxMDg2MzEM
OWWA,"February 06, 2022",Positive in covid 19,PENDING,Financial assistance,01/12/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtNDQ3MzE2OTYyNTc1DA
