agency,date,title,status,purpose,period_covered,link
PSA,2022-01-20,Copy of PSA Birth certificate (Mary Anne Robis Gaborni Avalon),PENDING,Clarification for Misrepresentation of COC,01/20/1950 - 01/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0yNjUxMDI4MDkwMjIM
DOST-ASTI,2022-01-20,Daily Rainfall Data surrounding Mt. Banahaw from PREDICT,PENDING,Research and Instruction,01/01/2010 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUFTVEktMDU3MzU3MDk1NzEwDA
DSWD,2022-01-20,SAP beneficiaries of San Roque Northern Samar,PENDING,Research on Good Governance,04/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtMjI2ODM0NjUxNTM0DA
DA,2022-01-20,Goat and Carabao Dispersal San Roque Northern Samar,PENDING,Research on Good Governance,01/01/2013 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTI1MzUyMDg5NTE2OAw
SSS,2022-01-20,SSS sickness and EC benefits positive COVID-19,PENDING,Follow on SSS sickness application,09/24/2021 - 10/10/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0wODcxNDI2NDk2MzEM
MGB,2022-01-20,"Antipolo City, Rizal Historical Landslide Records",PENDING,Undergraduate Thesis,05/31/2015 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE1HQi05NjQxODI2ODc4MTcM
DOH,2022-01-20,Vaccination certificate,PENDING,I have no record of my 2nd dose vaccination in vac cert ph website.,12/01/2021 - 01/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00OTA1Mzg2NDAzMDkM
DOH,2022-01-20,DOH Covid 19 Compensation Claim,PENDING,Follow up claim,05/01/2021 - 01/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NzY4NjEyODMxOTEM
ECC,2022-01-20,COVID CASH ASSISTANCE,PENDING,FOLLOW UP ON MY ONLINE COVID CASH ASSISTANCE,07/28/2020 - 08/17/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEVDQy0xMjQxNDE2NjU1NTgM
DOH,2022-01-20,Vaxcert Vaccine Certificate,PENDING,For travel back to Saudi Arabia,12/23/2021 - 01/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03MjQ5OTExMzM2NDUM
DENR EMB,2022-01-20,Pollution Rates Statistics of the Crematorium per Region,PENDING,Research and Thesis Related Purposes.,01/01/2015 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJFTUItNTQzNjYzNDcwNjI4DA
DTI,2022-01-20,The number of registered stores in Lucena City that distributes organic soaps,PENDING,Feasibility Study,01/20/2022 - 01/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS01NTAzMDk3ODkwNTUM
ECC,2022-01-20,COvid positive sickness Benifits,PENDING,Question or Inquiry,12/31/2021 - 01/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEVDQy00ODg3Nzc1NjM1NjMM
DOH,2022-01-20,booster vaccine certificate,PENDING,travel abroad for spouse visa,12/08/2021 - 01/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xNDgyMTg5MjYwNDkM
DOH,2022-01-20,REQUEST FOR booster SHOT CERTIFICATE,PENDING,TRAVEL ABROAD FOR FAMILY VISIT VISA,01/03/2022 - 01/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wMzQzNzcwMDc3NTAM
BI,2022-01-20,Request for BOOSTER SHOT CERTIFICATE,PENDING,TRAVEL ABROAD FOR FAMILY VISIT VISA,01/03/2022 - 01/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTAwODI3NTcyOTIzMww
BOI,2022-01-20,Agriceutical and Nutraceutical Industry,PENDING,Thesis Research,01/01/2017 - 11/27/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJPSS03NTkwNjk1NDQ0MzkM
BJMP,2022-01-20,Age Waiver,PENDING,Applying for Civil Engineer in BJMP CALABARZON,01/19/2022 - 01/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJKTVAtNDEwMzkwMjUwMDIwDA
DOH,2022-01-20,"ALS, BTR, TI",PENDING,Academic Research,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04MDgwNDk0MTI1MzgM
