agency,date,title,status,purpose,period_covered,link
LMB,"June 22, 2023",Cadastral Maps of Municipalities in Negros Oriental,PENDING,Research,05/01/2023 - 05/31/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItODI3ODQ2NDA2Mzc0DA
DepEd,"June 22, 2023",High School Diploma,PENDING,Needed for my Medical Billing and Coding Program in UEI - Riverside California.,06/01/1993 - 03/01/1996,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTcxNjg1NzM5ODM1MQw
NTC,"June 22, 2023",To lock serial #,PENDING,To block/Lock serial number of my phone,12/26/2020 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy02MDg4NDM0MTE3NTYM
NLP,"June 22, 2023",List of Public Libraries,PENDING,For academic research,01/01/1900 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5MUC04MDIzNzcwMjM4MDEM
DOTr,"June 22, 2023",Financial Performance of MRT3 and Payments out of Mass Transport Subsidy (2015-2022),PENDING,To be used in the estimation of economic impact of proposed MRT3 fare hike,01/01/2015 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMDI4ODI2MjIyNTYxDA
NBI,"June 22, 2023",NCR serial killer blacklist margareth rillo reported in NBI,PENDING,PNP Blotter Report for suspect margareth rillo employment banned permanent death in PH.,01/01/2017 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0zMDgzMjM2MDExNzEM
DPWH,"June 22, 2023",Inquiry on the road between Molino Boulevard and Molino Road,PENDING,Research,01/01/2020 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtMzAyNzcwMzY2MjUyDA
PSA,"June 22, 2023",Philippines Wide Household Income Demographic Map per Province,PENDING,Site selection to place a hydroponic farm development.,01/01/2022 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04OTYxOTA2Njg4ODcM
BIR,"June 22, 2023",Confirmation on issuance of electronic copy of 2307,PENDING,Compliance on BIR Regulations,01/01/2023 - 02/28/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02NTY2NTg4MjYyMDUM
PSA,"June 22, 2023",Lost PhilSys ID TRN,PENDING,To obtain my national ID.,06/22/2023 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zMDU1MTQ2MTkyMTEM
DepEd,"June 22, 2023",Enrollment Data of Elementary Learners Tagged as Gifted in the Learner Information System (LIS),PENDING,Research,06/01/2015 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQ3OTQ4ODQ3NzY0MAw
NTC,"June 22, 2023",LOST XIAOMI REDMI NOTE 9,PENDING,So they cannot use it anymore.,06/07/2023 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zNzc4OTM4ODExNjUM
DepEd,"June 22, 2023",Als Certificate diploma,PENDING,college,06/22/2023 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTAxNzI0ODU2MDA3OQw
NTC,"June 22, 2023",Find my stolen device,PENDING,Retrieving my phone,06/20/2023 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04OTI4MjE4MTQ3NzcM
CHED,"June 22, 2023",Aviation and Maintenance Training Schools,PENDING,Research and Development,01/01/2013 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtOTMxNTMwODExMDU2DA
CAAP,"June 22, 2023",Aeronautical and Maintenance Training Schools,PENDING,Research and Development,01/01/2013 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNBQVAtMDk0ODgxMDE4MzI1DA
DOLE,"June 22, 2023",DOLE CERTIFICATE FOR SSS UNEMPLOYMENT BENEFITS,PENDING,For my SSS Unemployment Benefit,04/28/2018 - 03/10/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNzkyNzYxMjU3Mzg5DA
DOH,"June 22, 2023",MANUAL ON TECHNICAL GUIDELINES FOR HOSPITAL PLANNING AND DESIGN_250-BED HOSPITAL (LEVEL 3),SUCCESSFUL,Thesis Data,06/11/2018 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05MDA4MDY0MTk2NDUM
BIR,"June 22, 2023",Certificate Tax Exemption,PENDING,College Scholarship,06/01/2022 - 06/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0zMjU2OTYxMjE0OTcM
BUKSU,"June 22, 2023",Gcash Loan,PENDING,Action,06/22/2023 - 06/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkJVS1NVLTg5NTA0MjY1MjE0MQw
PSA,"June 22, 2023","Economic Development of Biñan, Laguna",PENDING,Research (School purposes only),01/01/2021 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04MTQ0NjgwMzU0NjEM
PSA,"June 21, 2023",Population and Demographics of Deaf People,PENDING,Research,01/01/2015 - 01/01/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MjEwNTE2MDQyMDYM
PSA,"June 21, 2023",The population of OFWs in CALABARZON,PENDING,Architectural Thesis,01/01/2021 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05MzIxNTAwNTYyNjkM
SSS,"June 21, 2023",SSS member information,PENDING,For Verification And Requesting Loan,10/25/2015 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy01MDk1MDk3NjkyNDMM
BIR,"June 21, 2023",BIR Form No. 2316,PENDING,One of the requirements for the skills assessment in Australian Computer Society (ASC),01/01/2019 - 12/31/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0wMTUzNDE1OTA1MjEM
NTC,"June 21, 2023",My phone was stolen,PENDING,"Block my phone, my sim and block the thiefs phone to avoid accessing my accounts.",05/01/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05NDUxNDY2MDAwMTUM
PSA,"June 21, 2023","Percentage of ""Mute that can hear"" and ""Mute that cannot hear""",PENDING,Thesis purposes,01/01/2020 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xOTQ5OTE5ODA4MDMM
NTC,"June 21, 2023",Number of SIM card registered to my name,PENDING,For safety purposes,05/11/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zMjM1OTczNzE2NjMM
DOH,"June 21, 2023",Request for vaccine card,SUCCESSFUL,For employment,01/03/2022 - 02/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03NzY1MDk0MDMzMjgM
NTC,"June 21, 2023",Track My Stolen Phone's Current Location,PENDING,To be able to give it back to me as I really need it,06/15/2023 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wNzkxMjk2NjQzNTYM
LMB,"June 21, 2023","Zoning Ordinance and Land Use Plan of Jose Panganiban, Camarines Norte",PENDING,Research,01/01/2018 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItOTAwNzk2MjY3OTc4DA
